expiry,option_type,strike,bid,ask,last,mid,volume,open_interest,spot,snapshot_utc,T,moneyness,iv
2026-06-11,call,758.0,4.55,4.56,4.56,4.555,943.0,978.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0003563532369182,0.10616412167005361
2026-06-11,call,759.0,3.99,4.01,4.04,4.0,1920.0,624.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0016760845736423,0.10450534008955356
2026-06-11,call,760.0,3.48,3.5,3.51,3.49,1807.0,849.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0029958159103665,0.10304321038674402
2026-06-11,call,761.0,3.01,3.04,2.92,3.025,924.0,395.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0043155472470906,0.10175747537476394
2026-06-11,call,762.0,2.58,2.59,2.49,2.585,683.0,665.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.005635278583815,0.1001379486577646
2026-06-11,call,763.0,2.16,2.18,2.18,2.17,670.0,294.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.006955009920539,0.09813655129387647
2026-06-11,call,764.0,1.82,1.84,1.77,1.83,538.0,377.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0082747412572632,0.097076630714145
2026-06-11,call,765.0,1.5,1.51,1.51,1.505,342.0,467.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0095944725939874,0.09536270224870745
2026-06-11,call,766.0,1.24,1.25,1.24,1.245,387.0,297.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0109142039307115,0.09448015107480566
2026-06-11,call,767.0,1.0,1.01,1.01,1.005,412.0,211.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0122339352674357,0.0931261363330647
2026-06-11,call,768.0,0.8,0.82,0.74,0.81,77.0,216.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0135536666041598,0.09220095611643003
2026-06-11,call,769.0,0.63,0.64,0.57,0.635,264.0,233.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.014873397940884,0.09086408563144723
2026-06-11,call,770.0,0.5,0.51,0.5,0.505,352.0,386.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0161931292776083,0.09032836584712085
2026-06-11,call,771.0,0.37,0.38,0.31,0.375,2481.0,1682.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0175128606143324,0.08850086751442442
2026-06-11,call,772.0,0.29,0.3,0.27,0.295,1108.0,350.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0188325919510566,0.08834626346874941
2026-06-11,call,773.0,0.21,0.22,0.19,0.215,730.0,1101.0,757.72998046875,2026-06-04T18:31:23+00:00,0.0193466831557585,1.0201523232877807,0.08695522891924788
